requirement_ru,stack,skills,ner,spacy,combined,normalized
Теоретический опыт работы с интеграциями посредством очередей Kafka/RabbitMQ/какая-либо другая,,kafka|rabbitmq,- либо|kafka / rabbitmq /,Kafka|RabbitMQ|-,kafka|kafka rabbitmq|rabbitmq|либо,Kafka|RabbitMQ|логи
"Знание не менее 2х и практика владения (не менее 1) нотациями требований (UML,BPMN)",,uml|bpmn,знание|uml|bpmn,Знание|UML|BPMN,bpmn|uml,BPMN|UML
Практический опыт работы с интеграциями через очереди сообщений Kafka/RabbitMQ,,kafka|rabbitmq,kafka / rabbitmq,очереди|очереди сообщений|Kafka|RabbitMQ,kafka|kafka rabbitmq|rabbitmq|очереди|очереди сообщений,Kafka|RabbitMQ|Очереди сообщений|очереди
"Опыт работы с Java, PostgreSQL, K8S, Grafana, REST API",,java|postgresql|k8s|grafana|rest api,postgresql|k8s|rest api|java|grafana,Java|PostgreSQL|Grafana|REST|REST API|API,api|grafana|java|k8s|postgresql|rest|rest api,API|Grafana|Java|PostgreSQL|REST|REST API|k8
"Опыт работы в распределенных командах, понимание принципов Agile",,agile,agile,понимание|Agile,agile,Agile
Умение работать с Jira и Confluence,,jira|confluence,jira|confluence,Jira|Confluence,confluence|jira,Confluence|Jira
Опыт работы с JS,,javascript,js,,js,JavaScript
Опыт работы с React,,react,react,React,react,React
Опыт работы с Next.js,,next.js,next. js,Next.js,next. js|next.js,Next.js
Опыт реализации сложных анимаций нативно (js/css),,javascript|css3,##аций нативно,css,css|аций нативно,CSS|нотации
"Опыт реализации сложных анимаций с помощью специальных библиотек (motion, Three.js)",,motion|three.js,"motion,|three. js",motion|Three.js,motion|three. js|three.js,Three.js|motion
Опыт проектирования сложных ETL-процессов для построения витрин данных (Hadoop),,etl|hadoop,hadoop,Опыт проектирования|ETL|-|данных|Hadoop,etl|hadoop|данных|проектирования,ETL|Hadoop|Навыки проектирования|данных
SQL (сложные запросы + PIVOT),,sql|pivot,sql|pivot,SQL|сложные запросы|PIVOT,pivot|sql|сложные запросы,Pivot|SQL|Сложные запросы
Знание и опыт с Python,,python,знание и опыт с python,Знание|Python,python,Python
Опыт применения на практике основных UML диаграмм,,uml,uml диаграмм,UML,uml|uml диаграмм,UML|UML-диаграммы
Опыт с командной строкой в Linux,,linux,linux,Linux,linux,Linux
"XML/JSON, UML, РСУБД",,xml|json|uml|рссубд,xml / json|uml,XML|XML/JSON|JSON|UML,json|uml|xml|xml json|xml/json,JSON|JSON/XML|UML|XML|XML/JSON
"Базовое знание Spark, Hive, Airflow",,spark|hive|airflow,spark|airflow|hive,знание|Spark|Hive,airflow|hive|spark,AirFlow (dag)|Hive|Spark
