requirement_ru,stack,skills
"Jetpack Compose",,"android sdk"
"REST API / JSON",,"jetpack compose"
"Git",,"rest api|json"
"MVVM/MVI/MVP",,"git"
"Coroutines & Flow",,"mvvm|mvi|mvp"
"Dependency Injection/Dagger2",,"coroutines|flow"
"Clean Architecture",,"dependency injection|dagger2"
"Умение проектировать ER-модель (концептуальный и логический уровень)",,"er-model"
"Знания и практический опыт работы с интеграцией посредством Rest API",,"rest api"
"Теоретический опыт работы с интеграциями посредством очередей Kafka/RabbitMQ/какая-либо другая",,"kafka|rabbitmq"
"Знание не менее 2х и практика владения (не менее 1) нотациями требований (UML,BPMN)",,"uml|bpmn"
"Практический опыт работы с интеграциями через очереди сообщений Kafka/RabbitMQ",,"kafka|rabbitmq"
"Понимание преимуществ и недостатков микросервисной архитектуры по сравнению с другими",,"microservice architecture"
"Уверенная работа с Web elements, DOM, Xpath, CSS",,"web elements|dom|xpath|css"
"Работа в Postman или аналоги",,"postman"
"Работа с БД SQL: Postgresql, написание запросов",,"sql|postgresql"
"Уверенная работа с REST, OpenApi",,"rest|openapi"
"Разработка на Java с проектированием автотестов, ООП, знание паттернов разработки",,"java|ооп"
"Опыт работы с RabbitMq",,"rabbitmq"
"Работа с Git",,"git"
"Работа с ELK",,"elk"
"Написание, обработка JSON, WEB elements",,"json|web elements"
"Умеет вести разработку через agile методологии: Scrum/Kanban",,"agile|scrum|kanban"
"Опыт работы в QlikSense более 1 года",,"qlik sense"
"Опыт проведения и организации нагрузочного тестирования",,"нагрузочное тестирование"
"Сертификация QlikSense",,"qlik sense"
"Опыт работы по разработке требований к BI-отчетности",,"bi"
"Базовое владение SQL",,"sql"
"Подтверждённый опыт разработки на популярных low-code платформах, таких как Mendix, OutSystems, Microsoft Power Apps, Appian или аналогичных.",,"mendix|outsystems|microsoft power apps|appian"
"Опыт интеграции low-code приложений с внешними системами через API, веб-сервисы, базы данных и другие источники данных.",,"api|веб-сервисы|базы данных"
"Знания и практический опыт работы с интеграцией посредством Rest API",,"rest api"
"Теоретический опыт работы с интеграциями посредством очередей Kafka/RabbitMQ/какая-либо другая",,"kafka|rabbitmq"
"Знание не менее 2х и практика владения (не менее 1) нотациями требований (UML,BPMN)",,"uml|bpmn"
"Практический опыт работы с интеграциями через очереди сообщений Kafka/RabbitMQ",,"kafka|rabbitmq"
"Опыт работы с Java, PostgreSQL, K8S, Grafana, REST API",,"java|postgresql|k8s|grafana|rest api"
"Опыт работы в распределенных командах, понимание принципов Agile",,"agile"
"Умение работать с Jira и Confluence",,"jira|confluence"
"Опыт работы с JS",,"javascript"
"Опыт работы с React",,"react"
"Опыт работы с Next.js",,"next.js"
"Опыт реализации сложных анимаций нативно (js/css)",,"javascript|css3"
"Опыт реализации сложных анимаций с помощью специальных библиотек (motion, Three.js)",,"motion|three.js"
"Опыт проектирования сложных ETL-процессов для построения витрин данных (Hadoop)",,"etl|hadoop"
"SQL (сложные запросы + PIVOT)",,"sql|pivot"
"Знание и опыт с Python",,"python"
"Опыт применения на практике основных UML диаграмм",,"uml"
"Опыт с командной строкой в Linux",,"linux"
"XML/JSON, UML, РСУБД",,"xml|json|uml|рссубд"
"Базовое знание Spark, Hive, Airflow",,"spark|hive|airflow"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"SQL, уровень владения не ниже среднего",,"sql"
"Опыт работы с Kafka, REST",,"kafka|rest"
"Опыт работы по Agile (Kanban, Scrum) и/или Shape Up",,"agile|kanban|scrum|shape up"
"Опыт создания SaaS-продуктов",,"saas"
"Опыт работы с DWH/ETL хранилищами (Airflow, DAG)",,"dwh|etl|airflow|dag"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Знание функционала 1С Зарплата и управление персоналом",,"1с зарплата и управление персоналом"
"Знание механизмов управляемых форм, языка запросов, СКД",,"управляемые формы|язык запросов|скд"
"Понимание принципов взаимодействия платформы 1С с СУБД (структура хранения данных, особенности выполнения запросов)",,"1с|субд"
"Доработка конфигурации 1С Зарплата и управление персоналом под требование заказчика, наличие практического опыта",,"1с зарплата и управление персоналом"
"Знание Библиотеки стандартных подсистем",,"библиотека стандартных подсистем"
"Знание Конвертации данных ред.2",,"конвертация данных ред.2"
"Опыт разработки WEB-сервисов",,"веб-сервисы"
"Опыт коммерческой разработки на Python от 4 лет",,"python"
"Владение хотя бы одним из фреймворков: AioHttp, Sanic, FastApi, Starlette, Django, Flask, etc.",,"aiohttp|sanic|fastapi|starlette|django|flask"
"Уверенные знания Linux на уровне пользователя",,"linux"
"Умение писать SQL-запросы без использования ORM",,"sql"
"Опыт работы с Docker, GitLab CI, OpenShift либо Kubernetes",,"docker|gitlab ci|openshift|kubernetes"
"Опыт работы в BW более 1 года",,"bw"
"Опыт проведения и организации нагрузочного тестирования",,"нагрузочное тестирование"
"Знания BW on HANA или BW4HANA",,"bw on hana|bw4hana"
"Навыки ABAP разработки: BADI, FM, Report, user-exit, virtual keys/chars, expert routines",,"abap|badi|fms|report|user-exit|virtual keys/chars|expert routines"
"Навыки моделирования и написания SQL-процедур в HANA Studio",,"sql|hana studio"
"Навыки моделирования HANA (AMDP, CV, Table Function, SP)",,"hana|amdp|cv|table function|sp"
"Навыки VBA-программирования",,"vba"
"Bex Query, BEx Analyzer, AfO",,"bex query|bex analyzer|afo"
"Опыт интеграции BW с различными информационными системами (проектирование и создание ETL механизмов)",,"bw|etl"
"Опыт разработки отчетности в BO (Analysis, WebIntelligence, Design Studio, Lumira, Fiori)",,"bo|analysis|webintelligence|design studio|lumira|fiori"
"Навыки по оптимизации производительности в BW on HANA",,"bw on hana"
"Разработка экстракторов из ERP",,"erp"
"Знание модуля HR",,"hr"
"Сертификация BW, ABAP, HANA, BO",,"bw|abap|hana|bo"
"Знания по администрированию системы средствами мониторинга DBACOCKPIT и пр.",,"dbacockpit"
"Умение работать с APD",,"apd"
"Опыт подготовки функциональных спецификаций на разработку с детальным описанием технических вопросов (с указанием BAPI, BADI, EXIT'ами)",,"bapi|badi|exit'ами"
"Опыт от 2х лет в Process Mining",,"process mining"
"Знание методологий: eEPC, IDEF, UML",,"eec|idef|uml"
"Знание программного обеспечения ASP Net",,"asp.net"
"Знание программного обеспечения и принцип работы API (SOAP, REST)",,"soap|rest"
"Знание принципов методологий гибкой разработки (Agile, Scrum, Kanban)",,"agile|scrum|kanban"
"Отличные знания PHP7 и API 1C-Битрикс, Symfony",,"php7|1c-битрикс|symfony"
"Опыт использования ElasticSearch и шины Kafka",,"elasticsearch|kafka"
"Практические навыки проектирования REST интерфейсов",,"rest api"
"Знание принципов построения высоконагруженных систем (Memcache, nginx, master-slave репликация mysql, кластеризация web-серверов)",,"memcache|nginx|mysql"
"Понимание кода написанного на Python",,"python"
"Опыт разработки проектов на платформе Next.js",,"next.js"
"Владение фреймворком React",,"react"
"Умение создавать сложные анимации: или средствами JavaScript/CSS, или с использованием специализированных библиотек (например, motion, Three.js)",,"javascript|css|motion|three.js"
"React JS 18+, SASS, i18next, Reduxjs + Reduxjs/toolkit, опыт работы с сайд-эффектами (redux-thunk, redux-saga)",,"react js"
"HTML/CSS: знание семантических элементов; опыт верстки страниц, совместимых с различными браузерами",,"sas"
"Уверенное знание JavaScript: замыкания, асинхронное программирование (async/await | Promises), ES6+, Browser APIs",,"i18next"
"Понимание REST API",,"reduxjs|reduxjs/toolkit"
"Умение работы с WebSocket",,"redux-thunk|redux-saga"
"Опыт работы с Webpack или другими инструментами сборки",,"html|css"
"Опыт работы с Canvas",,"javascript|async/await|promises|es6+|browser apis"
"Опыт работы с картами",,"rest api"
"Опыт работы с видео",,"websocket"
"Умение работы с git",,"webpack"
"Опыт работы с Typescript",,"canvas"
"Опыт успешного сотрудничества в распределённых коллективах, знание и применение методов гибкого управления проектами (Agile)",,"agile"
"Навык работы с системами отслеживания задач (Jira) и документооборота (Confluence)",,"jira|confluence"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Опыт работы с БД Apache Druid на уровне архитектора/senior инженера",,"apache druid"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"QA инженер на Java (авто/ручное - примерно 60/40)",,"java"
"Работа в роли бэкенд на .Net core более 5 лет",,".net core"
"C# 10+ версии",,"c#"
"Опыт интеграции с следующими системами: Solar, Lekton, AnyWay, EQ от 2х лет",,"solar|lekton|anyway|eq"
"Знание архитектур MSA, SOA и опыт работы с ними, отличия",,"msa|soa"
"Знание платформы и опыт работы с .Net6 (+3.1), ASP .Net MVC",,".net 6|asp.net mvc"
"Опыт работы с любым одним инструментом из списка: Kubernetes, Serverless, Open Source model",,"kubernetes|serverless"
"Знание и опыт работы с Entity Framework Core or Dapper or link2db",,"entity framework|dapper|link2db"
"Знание и опыт работы с Redis",,"redis"
"Знание и опыт работы с Rabbit or Kafka",,"rabbit|kafka"
"Знание и опыт работы с Docker",,"docker"
"Знание протоколов HTTP, HTTPS, SSL, REST, SOAP, AMQP",,"http/https|https|ssl|rest|soap|amqp"
"Уверенное понимание SQL, индексы БД, профилирование запросов, умение работать с Display estimated execution plan или аналогами",,"sql"
"Работа с системой контроля версий Git",,"git"
"Опыт работы по гибким методологиям Agile: Scrum, Kanban",,"agile|scrum|kanban"
"Понимание Kubernetes и идеологии DevOps, SRE",,"kubernetes|devops|sre"
"Понимание принципов построения Cloud Native приложений",,"cloud native"
"Опыт работы с GRPC",,"grpc"
"Опыт работы с BPMN",,"bpmn"
"Отличные знания PHP7 и API 1C-Битрикс, Symfony",,"php7|1c-битрикс|symfony"
"Опыт построения API для мобильных приложений",,"api"
"Опыт использования ElasticSearch и шины Kafka",,"elasticsearch|kafka"
"Практические навыки проектирования REST интерфейсов",,"rest api"
"Знание принципов построения высоконагруженных систем (Memcache, nginx, master-slave репликация mysql, кластеризация web-серверов)",,"memcache|nginx|mysql|веб-сервернои"
"Понимание кода написанного на Python",,"python"
"Знание Node.js, TypeScript",,"node.js|typescript"
"Знание SQL / PostgreSQL (включая транзакции)",,"sql|postgresql"
"Знание Redis",,"redis"
"Знание React, Vite",,"react|vite"
"Знание Docker, Docker-Compose",,"docker|docker-compose"
"Знание GitLab CI (runners)",,"gitlab ci"
"Знание Jest (unit-тесты)",,"jest"
"Знание REST API",,"rest api"
"Знание Node.js, TypeScript",,"node.js|typescript"
"Знание SQL / PostgreSQL (включая транзакции)",,"sql|postgresql"
"Знание Redis",,"redis"
"Знание React, Vite",,"react|vite"
"Знание Docker, Docker-Compose",,"docker|docker-compose"
"Знание GitLab CI (runners)",,"gitlab ci"
"Знание Jest (unit-тесты)",,"jest"
"Знание REST API",,"rest api"
"Знание Node.js, TypeScript",,"node.js|typescript"
"Знание SQL / PostgreSQL (включая транзакции)",,"sql|postgresql"
"Знание Redis",,"redis"
"Знание React, Vite",,"react|vite"
"Знание Docker, Docker-Compose",,"docker|docker-compose"
"Знание GitLab CI (runners)",,"gitlab ci"
"Знание Jest (unit-тесты)",,"jest"
"Знание REST API",,"rest api"
"Знание Node.js, TypeScript",,"node.js|typescript"
"Знание SQL / PostgreSQL (включая транзакции)",,"sql|postgresql"
"Знание Redis",,"redis"
"Знание React, Vite",,"react|vite"
"Знание Docker, Docker-Compose",,"docker|docker-compose"
"Знание GitLab CI (runners)",,"gitlab ci"
"Знание Jest (unit-тесты)",,"jest"
"Знание REST API",,"rest api"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react|vite"
"GitLab CI (runners)",,"docker|docker-compose"
"Jest (unit-тесты)",,"gitlab ci"
"REST API",,"jest"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react|vite"
"GitLab CI (runners)",,"docker|docker-compose"
"Jest (unit-тесты)",,"gitlab ci"
"REST API",,"jest"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react|vite"
"GitLab CI (runners)",,"docker|docker-compose"
"Jest (unit-тесты)",,"gitlab ci"
"REST API",,"jest"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react|vite"
"GitLab CI (runners)",,"docker|docker-compose"
"Jest (unit-тесты)",,"gitlab ci"
"REST API",,"jest"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react|vite"
"GitLab CI (runners)",,"docker|docker-compose"
"Jest (unit-тесты)",,"gitlab ci"
"REST API",,"jest"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Node.js, TypeScript",,"node.js"
"SQL / PostgreSQL (включая транзакции)",,"typescript"
"Redis",,"sql|postgresql"
"React, Vite",,"redis"
"Docker, Docker-Compose",,"react"
"GitLab CI (runners)",,"vite"
"Jest (unit-тесты)",,"docker"
"REST API",,"docker-compose"
"Знание sql (диалект pq-sql)",,"sql|pq-sql"
"Опыт администрирования с ОС Linux (Rosa/AstraLinux) и Docker",,"linux|rosa|astralinux|docker"
"Администрирования AirFlow",,"airflow|graphana|zabix|prometheus|opensearch|elk|cassandra"
"Graphana, Zabix, Prometheus, opensearch, ELK, cassandra - уровень эксперта, настройка логирования, мониторинга приложений",,"ansible|helm|python|bash"
"Знания сетевых технологий",,"f5|nginx"
"Знания технологий балансировки нагрузки (F5,nginx)",,"itil"
"Минимальные знания ITIL",,"ci/cd|jenkins|bamboo"
"Опыт использования CI/CD-систем Jenkins (предпочтительно), Bamboo",,"jira|confluence"
"Jira/confluence",,"kafka|keycloak"
"Опыт сопровождения промышленных и тестовых сред",,"haproxy|istio"
"Знание Node.js, TypeScript",,"node.js|typescript"
"Знание SQL / PostgreSQL (включая транзакции)",,"sql|postgresql"
"Знание Redis",,"redis"
"Знание React, Vite",,"react|vite"
"Опыт работы с Docker, Docker-Compose",,"docker|docker-compose"
"Опыт работы с GitLab CI (runners)",,"gitlab ci"
"Опыт написания unit-тестов на Jest",,"jest"
"Опыт работы с REST API",,"rest api"
"Node.js",,"node.js"
"TypeScript",,"typescript"
"SQL / PostgreSQL (включая транзакции)",,"sql|postgresql"
"Redis",,"redis"
"React, Vite",,"react"
"Docker, Docker-Compose",,"vite"
"GitLab CI (runners)",,"docker"
"Jest (unit-тесты)",,"docker-compose"
"REST API",,"gitlab ci"
"Опыт работы в области поддержки клиентов (внутренних и внешних), service desk, itsm",,"service desk|itsm"
"Навык документирования требований в формате use cases/user story/технического задания",,"use cases|user story"
"Умение моделировать UML модели: Use case, Sequence.",,"uml|use cases|sequence"
"Навык моделирования бизнес-процессов BPMN на аналитическом уровне",,"bpmn"
"Проектирование интеграций REST",,"rest"
"Опыт документирования API в спецификации OpenAPI (swagger)",,"openapi|swagger"
"Знание инструментов тестирования postman, soap ui, altair, conductor, Offset Explorer",,"postman|soap ui|altair|conductor|offset explorer"
"Хорошее владение базовыми технологиями: Kotlin/Java (опыт не менее 2 лет)",,"kotlin|java"
"Понимание Spring Boot и Spring Framework",,"spring boot|spring framework"
"Опыт работы с PostgreSQL и MongoDb",,"postgresql|mongodb"
"Опыт создания REST API",,"rest api"
"Опыт работы с Docker",,"docker"
"Понимание базовой теории тестирования и умение писать unit-тесты",,"unit tests"
"Опыт работы с Kotlin",,"kotlin"
"Опыт работы с Kafka",,"kafka"
"Опыт работы с Kubernetes",,"kubernetes"
"Опыт работы с Camunda (приоритетно Camunda 8)",,"camunda"
"Опыт работы в QlikSense более 1 года",,"qlik sense"
"Опыт проведения и организации нагрузочного тестирования",,"нагрузочное тестирование"
"Сертификация QlikSense",,"qlik sense"
"Опыт работы с платформами low-code: Кандидат должен иметь подтверждённый опыт разработки на популярных low-code платформах, таких как Mendix, OutSystems, Microsoft Power Apps, Appian или аналогичных.",,"mendix|outsystems|microsoft power apps|appian"
"Навыки интеграции: Опыт интеграции low-code приложений с внешними системами через API, веб-сервисы, базы данных и другие источники данных.",,"api"
"Опыт разработки на Java/Kotlin от 2 лет",,"java|kotlin"
"Практические навыки использования Spring (boot, Data, Cloud)",,"spring boot|spring data|spring cloud"
"Опыт работы с БД (Mongo, PostgreSQL)",,"mongo|postgresql"
"Опыт работы с брокерами (RabbitMQ, Kafka)",,"rabbitmq|kafka"
"Опыт работы с Jenkins, Kubernetes",,"jenkins|kubernetes"
"Опыт использования Grafana, ELK",,"grafana|elk"
"Опыт работы с Vault, Artifactory, Docker, Helm, Github, ELK, Prometheus",,"vault|artifactory|docker|helm|github|elk|prometheus"
"Опыт автоматизированного тестирования на Java",,"java"
"Знание и понимание Agile-процессов, опыт работы в проектах по Agile методологии",,"agile"
"Знание методологий описания процессов (EPC, BPMN, UML)",,"epc|bpmn|uml"
"Опыт работы с интеграциями (REST, SOAP, брокеры). Знание XSD/XML, JSON, SQL",,"rest|soap|xsd|xml|json|sql"
"Уверенный пользователь MS Office, Visio, Confluence, JIRA",,"ms office|visio|confluence|jira"
"Знание нотации BPMN",,"bpmn"
"Использование нотации Archimate",,"archimate"
"Опыт работы ведущим аналитиком проектов 1С от 3 лет",,"1с"
"Опыт реализации проектов по Опыт работы с 1С:Управление Холдингом (Контролимитов, Закупки, Казначейство, МСФО, Консолидация)",,"1с:управление холдингом|мсфо"
"Сертификация бух учета и/или МСФО",,"мсфо"
"Обязателен опыт проектирования одного или нескольких блоков: МСФО, Казначейство, Бюджетный контроль и Упр Учет – в должности лидера блока или функционального архитектора",,"мсфо"
"SQL, уровень владения не ниже среднего",,"sql"
"Опыт работы с Kafka, REST",,"kafka|rest"
"Опыт работы по Agile (Kanban, Scrum) и/или Shape Up",,"agile|kanban|scrum|shape up"
"Опыт работы с DWH/ETL хранилищами (Airflow, DAG)",,"dwh|etl|airflow|dag"
"Опыт коммерческой разработки на Python от 4 лет",,"python"
"Владение Django + Django Rest Framework, Django ORM, PostgreSQL",,"django|django rest framework|django orm|postgresql"
"Уверенные знания Linux на уровне пользователя",,"linux"
"Умение писать SQL-запросы без использования ORM",,"sql"
"Опыт работы с Docker",,"docker"
"Опыт работы с GitLab CI",,"gitlab ci"
"Опыт работы с Kubernetes",,"kubernetes"
"Опыт работы ведущим аналитиком проектов 1С от 3 лет",,"1с"
"Опыт реализации проектов по Опыт работы с 1С:Управление Холдингом (Контроль лимитов, Закупки, Казначейство, МСФО, Консолидация)",,"1с:управление холдингом"
"Сертификация бух учета и/или МСФО",,"мсфо"
"Опыт проектирования одного или нескольких блоков: МСФО, Казначейство, Бюджетный контроль и Упр Учет – в должности лидера блока или функционального архитектора",,"мсфо"
"Понимание микросервисной архитектуры",,"микросервисная архитектура"
"Понимание и умение работать с rest запросами",,"rest запросы"
"Знание основ реляционных баз данных",,"реляционные базы данных"
"Опыт работы в agile-методологии",,"agile"
"Владение инструментами моделирования бизнес-процессов (BPMN, UML), управления требованиями (Jira, Confluence, Trello) и прототипирования",,"bpmn|uml|jira|confluence|trello"
